station,lat,lon,notes,distance_to_major_road,total_road_length_m,major_road_length_m,pct_green,pct_industrial,pct_residential,building_density,avg_building_area_m2,median_building_area_m2,building_count,major_road_fraction
"Anand Vihar, Delhi",28.6473,77.3185,CPCB list,36.47241947191554,55242.83004162173,10327.566467026994,0.02790233699678455,0.3822904955719984,0.37157781167822523,0.12332915732878984,757.0017265359435,354.9305273299456,511,0.18694854081961174
"R K Puram, Delhi",28.5643,77.1818,paper,125.99723757580068,90357.61422898626,17380.00476430812,0.05596325014412368,0.0,0.7374536733394093,0.1677264945700281,576.2127966793907,323.0343670802861,913,0.19234687538632136
"Punjabi Bagh, Delhi",28.6678,77.1213,CPCB list,123.87269878931387,63504.19007103186,6380.1382630909,0.09690304036890775,0.0013344896762841625,0.8668622955229283,0.16597605413507668,484.72247864442426,341.8054826715803,1074,0.10046798889891316
"Mandir Marg, Delhi",28.6274,77.201,GIS study,293.08619013067715,70952.5849251065,18380.423371761717,0.08057040831198375,0.0,0.5569399901969295,0.1535564601782711,675.5081113404137,399.38356012534564,713,0.25905220213136765
"Vikas Sadan Gurugram",28.4601,77.0318,amazon link?,31.276028935525662,82161.96944488346,17896.88643432396,0.004141848694423291,0.0,0.7379982832377634,0.2508563602100259,218.31940564935888,169.9658640106007,3604,0.21782445765652791
"Sector 51 Gurugram",28.4287,77.0706,env clearance doc,213.79215097440783,79140.42722273612,10229.117245013396,0.02302981944
"Sector 62, Noida",28.6195,77.3618,UPPCB,183.9314999338688,60030.24019587571,11608.85591275271,0.23199342979115656,0.0,0.14757558551146563,0.08646698549331035,1427.4099622685033,704.2768513100114,190,0.19338346598103864
"Sector 125, Noida",28.5376,77.3338,UPPCB,137.05472769677516,35024.56827259007,11433.17246890737,0.10095083333101845,0.0,0.0034779744714516264,0.04788749540624904,1502.0145143243215,624.6307497798348,100,0.3264329307337922
