station,lat,lon,notes,distance_to_major_road,total_road_length_m,major_road_length_m,pct_green,pct_industrial,pct_residential,building_density,avg_building_area_m2,median_building_area_m2,building_count,major_road_fraction
"Anand Vihar, Delhi (DPCC / CPCB)",28.6473,77.3185,CPCB list,36.47241947191554,16403.307118411674,5226.357820270889,0.04415792049833741,0.4618721834991952,0.1739965862010305,0.11808924381649416,1747.135091708918,597.2104727735153,53,0.31861610482221797
"R K Puram, Delhi (DPCC)",28.5643,77.1818,paper,125.99723757580068,23375.007044414764,5068.167199544059,0.019513798731075043,0.0,0.6383652657433332,0.16945550538820808,734.123493978364,474.4778863232547,181,0.216819921804261
"Punjabi Bagh, Delhi (DPCC)",28.6678,77.1213,CPCB list,123.87269878931387,16205.321772450672,1946.623105543188,0.18271187798225635,0.0,0.8172881220177437,0.14262484665728592,306.40393664214434,232.8027035034174,365,0.12012245933014926
"Mandir Marg, Delhi (DPCC)",28.6274,77.201,GIS study,293.08619013067715,22356.630390294617,4631.179980784266,0.028210292077848483,0.0,0.9307018991835339,0.1964246133024036,777.8981368179903,486.63058217410406,198,0.20715017871363736
Vikas Sadan Gurugram - HSPCB,28.4601,77.0318,amazon link?,31.276028935525662,20632.212199786707,6338.127897772102,0.0,0.0,0.49691026337456695,0.23209174673596528,264.13897601356683,146.42939544754154,689,0.30719574984972403
Sector-51 Gurugram - HSPCB,28.4287,77.0706,env clearance doc,213.79215097440783,18345.106426586266,2345.876113642606,0.005341553705177798,0.0,0.8193558290014598,0.15640334537735373,882.3141670139521,668.8993597838709,139,0.12787476175351556
"Sector 62, Noida",28.6195,77.3618,UPPCB,183.9314999338688,12321.370051930202,2984.4029974660925,0.2730159797052884,0.0,0.03326809353381973,0.12766757824977398,2944.379043024169,1775.2197985883822,34,0.24221356755684578
"Sector 125, Noida",28.5376,77.3338,UPPCB,137.05434982935583,9111.665622000786,4443.734134126033,0.33722009936187125,0.0,0.0005311187541010946,0.020742086112244745,650.5855888612793,366.4401544249012,25,0.48769723544247606
