NO2,SO2,CO,O3,Aerosol_Index,location
0.000199216,0.0003068316666666666,0.045438318,0.129827395,-1.1374448343333332,"Anand Vihar, Delhi"
0.000172549,0.000680433,0.041230101,0.137623989,-1.003265769,"Anand Vihar, Delhi"
0.000417914,-0.00016024,0.051716027,0.132586605,-0.929170653,"Anand Vihar, Delhi"
0.000206821,-0.000330803,0.043906055,0.123202644,-1.35130322,"Anand Vihar, Delhi"
0.00020766479999999998,-0.000296521,0.04213464233333333,0.12717420833333334,-1.3075656893333332,"Anand Vihar, Delhi"
0.0002085086,-0.000262239,0.04036322966666667,0.13114577266666666,-1.2638281586666666,"Anand Vihar, Delhi"
0.0002093524,-0.000227957,0.038591817,0.135117337,-1.220090628,"Anand Vihar, Delhi"
0.00021019620000000002,-0.000193675,0.041497243,0.132579073,-1.827509761,"Anand Vihar, Delhi"
0.00021104,0.000787506,0.042739178,0.132833886,-1.467649084,"Anand Vihar, Delhi"
8.48e-05,-2.39e-05,0.034362391,0.131637027,-0.999428945,"Anand Vihar, Delhi"
6.31e-05,-0.000473163,0.03468208066666666,0.135582119,-0.859283328,"Anand Vihar, Delhi"
7.83e-05,-0.00010720199999999998,0.035001770333333335,0.13529628500000002,-0.9245533345,"Anand Vihar, Delhi"
9.35e-05,0.000258759,0.03532146,0.135010451,-0.989823341,"Anand Vihar, Delhi"
0.000282492,0.000431662,0.047117013,0.15226388,-0.956331849,"Anand Vihar, Delhi"
0.00011647,-0.000130528,0.043828927,0.140681192,-1.14001894,"Anand Vihar, Delhi"
0.000110945,0.00021635149999999997,0.0409265625,0.1422707385,-0.883104629,"Anand Vihar, Delhi"
0.00010542,0.000563231,0.038024198,0.143860285,-0.626190318,"Anand Vihar, Delhi"
0.000174175,0.000474821,0.03712659,0.145729526,-0.87376071,"Anand Vihar, Delhi"
0.000277933,-0.000293784,0.049501028,0.15178594,-1.298454404,"Anand Vihar, Delhi"
0.000167772,-0.000634727,0.048236251,0.148409307,-1.177321553,"Anand Vihar, Delhi"
0.00014647466666666668,-0.00025019,0.046971474,0.14470386,-0.9706011016666667,"Anand Vihar, Delhi"
0.00012517733333333335,0.00013434699999999994,0.045706697000000004,0.140998413,-0.7638806503333333,"Anand Vihar, Delhi"
0.00010388,0.000518884,0.04444192,0.137292966,-0.557160199,"Anand Vihar, Delhi"
6.51e-05,-0.000776564,0.041032635,0.136429801,-0.98864706,"Anand Vihar, Delhi"
3.88e-05,7.11e-05,0.038899671,0.129353906,-1.02942725,"Anand Vihar, Delhi"
3.573333333333333e-05,5.3666666666666666e-05,0.03731042366666666,0.129807072,-0.8472484619999999,"Anand Vihar, Delhi"
3.266666666666667e-05,3.623333333333333e-05,0.035721176333333333,0.130260238,-0.6650696739999999,"Anand Vihar, Delhi"
2.96e-05,1.88e-05,0.034131929,0.130713404,-0.482890886,"Anand Vihar, Delhi"
3.05e-05,-0.000889096,0.033827465,0.135977983,-0.540721476,"Anand Vihar, Delhi"
2.9166666666666666e-05,-0.0005451570000000001,0.034151169,0.13576363233333333,-0.446855736,"Anand Vihar, Delhi"
2.7833333333333333e-05,-0.00020121800000000008,0.034474872999999996,0.13554928166666666,-0.35298999600000003,"Anand Vihar, Delhi"
2.65e-05,0.000142721,0.034798577,0.135334931,-0.259124256,"Anand Vihar, Delhi"
4.07e-05,-5.15e-05,0.034313399,0.134087767,-0.5353145,"Anand Vihar, Delhi"
