location,date,PM2.5_ground,PM10_ground,NO2_ground,SO2_ground,CO_ground,O3_ground
"Anand Vihar, Delhi - DPCC",2020-01-01,367.38,449.58,54.76,10.76,3.65,60.06
"Anand Vihar, Delhi - DPCC",2020-01-02,360.34,463.33,61.22,21.3,4.13,63.83
"Anand Vihar, Delhi - DPCC",2020-01-03,394.86,500.24,46.96,22.12,2.93,65.94
"Anand Vihar, Delhi - DPCC",2020-01-04,204.94,359.77,90.79,4.96,0.92,63.17
"Anand Vihar, Delhi - DPCC",2020-01-05,186.4,313.4,69.24,11.1,1.96,62.89
"Anand Vihar, Delhi - DPCC",2020-01-06,171.8,290.19,62.39,17.4,2.34,66.44
"Anand Vihar, Delhi - DPCC",2020-01-07,143.41,218.67,41.79,16.19,1.69,63.24
"Anand Vihar, Delhi - DPCC",2020-01-08,144.91,167.73,37.43,11.75,1.82,62.42
"Anand Vihar, Delhi - DPCC",2020-01-09,115.28,233.82,44.79,7.95,2.11,64.16
"Anand Vihar, Delhi - DPCC",2020-01-10,148.54,323.3,53.81,10.49,2.21,64.27
"Anand Vihar, Delhi - DPCC",2020-01-11,164.77,340.71,70.69,12.09,2.66,64.01
"Anand Vihar, Delhi - DPCC",2020-01-12,260.68,335.325,73.67,11.6,3.83,64.42
"Anand Vihar, Delhi - DPCC",2020-01-13,259.22,329.94,54.47,3.86,2.68,59.43
"Anand Vihar, Delhi - DPCC",2020-01-14,143.28,213.71,38.74,7.66,1.95,61.36
"Anand Vihar, Delhi - DPCC",2020-01-15,118.38,199.33,46.55,8.78,1.27,60.22
"Anand Vihar, Delhi - DPCC",2020-01-16,164.31,206.66,37.45,9.3,1.89,62.72
"Anand Vihar, Delhi - DPCC",2020-01-17,107.94,157.35,38.99,6.29,1.54,64.82
"Anand Vihar, Delhi - DPCC",2020-01-18,173.46,345.44,72.29,4.43,2.11,33.18
"Anand Vihar, Delhi - DPCC",2020-01-19,153.73,261.58,54.86,3.92,1.69,12.15
"Anand Vihar, Delhi - DPCC",2020-01-20,181.78,314.54,63.04,7.51,5.1,12.09
"Anand Vihar, Delhi - DPCC",2020-01-21,243.19,407.08,61.38,4.17,1.54,11.9
"Anand Vihar, Delhi - DPCC",2020-01-22,237.3,361.8,58.79,4.43,1.87,12.04
"Anand Vihar, Delhi - DPCC",2020-01-23,75.68,172.33,51.28,4.95,2.18,12.24
"Anand Vihar, Delhi - DPCC",2020-01-24,90.76,256.7,81.66,12.49,4.2,13.6
"Anand Vihar, Delhi - DPCC",2020-01-25,157.4,348.93,91.07,9.24,2.91,13.52
"Anand Vihar, Delhi - DPCC",2020-01-26,292.98,519.9,85.09,10.34,2.28,18.26
"Anand Vihar, Delhi - DPCC",2020-01-27,243.76,455.74,91.98,11.27,4.0,19.82
"Anand Vihar, Delhi - DPCC",2020-01-28,105.54,153.68,52.73,11.61,2.4,21.37
"Anand Vihar, Delhi - DPCC",2020-01-29,83.0,168.33,56.09,5.79,3.35,18.37
"Anand Vihar, Delhi - DPCC",2020-01-30,82.72,181.35,55.98,8.24,2.58,22.0
"Anand Vihar, Delhi - DPCC",2020-01-31,91.51,230.59,71.52,7.47,2.26,20.73
"Anand Vihar, Delhi - DPCC",2020-02-01,129.92,269.08,67.66,8.24,2.13,20.26
"Anand Vihar, Delhi - DPCC",2020-02-02,123.57,234.81,78.81,7.29,1.39,23.64
"Anand Vihar, Delhi - DPCC",2020-02-03,154.76,343.36,90.55,10.3,3.13,24.4
"Anand Vihar, Delhi - DPCC",2020-02-04,207.44,401.58,79.68,13.59,1.25,51.02
"Anand Vihar, Delhi - DPCC",2020-02-05,134.67,304.81,82.08,12.28,3.13,25.93
"Anand Vihar, Delhi - DPCC",2020-02-06,132.27,276.07,77.69,8.9,2.08,24.84
"Anand Vihar, Delhi - DPCC",2020-02-07,163.43,267.72,90.87,12.21,2.29,44.35
"Anand Vihar, Delhi - DPCC",2020-02-08,145.22,290.78,74.63,3.13,2.2,29.26
"Anand Vihar, Delhi - DPCC",2020-02-09,149.97,293.99,90.57,11.55,2.47,27.02
"Anand Vihar, Delhi - DPCC",2020-02-10,177.03,380.38,59.12,7.82,2.39,26.92
"Anand Vihar, Delhi - DPCC",2020-02-11,183.51,387.12,103.47,8.08,2.23,25.79
"Anand Vihar, Delhi - DPCC",2020-02-12,173.85,356.26,87.96,7.89,2.26,25.62
"Anand Vihar, Delhi - DPCC",2020-02-13,100.4,228.32,71.11,9.57,2.09,29.87
"Anand Vihar, Delhi - DPCC",2020-02-14,85.3,195.38,53.22,6.45,1.56,37.11
"Anand Vihar, Delhi - DPCC",2020-02-15,85.38,244.33,88.72,5.9,1.32,40.28
"Anand Vihar, Delhi - DPCC",2020-02-16,137.73,300.77,90.91,4.0,1.81,29.86
"Anand Vihar, Delhi - DPCC",2020-02-17,193.53,386.87,100.12,2.52,2.41,23.55
"Anand Vihar, Delhi - DPCC",2020-02-18,131.36,299.31,110.77,9.75,2.92,26.01
"Anand Vihar, Delhi - DPCC",2020-02-19,145.83,367.08,74.84,8.54,2.51,33.52
"Anand Vihar, Delhi - DPCC",2020-02-20,103.22,233.49,36.7,7.78,1.48,15.08
"Anand Vihar, Delhi - DPCC",2020-02-21,54.62,98.23,38.19,7.08,1.02,14.96
"Anand Vihar, Delhi - DPCC",2020-02-22,74.57,167.26,45.92,12.24,2.54,14.92
"Anand Vihar, Delhi - DPCC",2020-02-23,111.16,207.71,50.27,4.38,1.8,13.51
"Anand Vihar, Delhi - DPCC",2020-02-24,59.46,166.17,49.38,7.71,2.06,13.54
"Anand Vihar, Delhi - DPCC",2020-02-25,97.21,236.44,59.45,7.67,2.82,13.6
"Anand Vihar, Delhi - DPCC",2020-02-26,125.26,286.12,71.83,8.31,2.62,14.0
"Anand Vihar, Delhi - DPCC",2020-02-27,93.84,200.87,65.17,2.47,2.03,14.56
"Anand Vihar, Delhi - DPCC",2020-02-28,72.34,158.38,42.88,4.87,1.95,19.31
"Anand Vihar, Delhi - DPCC",2020-02-29,53.06,115.03,44.18,10.91,1.61,34.34
"Anand Vihar, Delhi - DPCC",2020-03-01,62.81,194.46,75.65,11.385,2.18,41.89
"Anand Vihar, Delhi - DPCC",2020-03-02,128.47,325.07,72.44,11.86,2.51,33.35
"Anand Vihar, Delhi - DPCC",2020-03-03,101.83,250.66,79.48,8.12,3.31,21.38
"Anand Vihar, Delhi - DPCC",2020-03-04,83.62,217.75,63.9,14.2,1.97,48.88
"Anand Vihar, Delhi - DPCC",2020-03-05,32.82,86.48,46.49,8.23,1.99,33.34
"Anand Vihar, Delhi - DPCC",2020-03-06,19.55,42.38,41.39,6.17,1.81,29.62
"Anand Vihar, Delhi - DPCC",2020-03-07,44.44,108.21,51.22,7.91,1.63,22.92
"Anand Vihar, Delhi - DPCC",2020-03-08,101.52,226.74,56.83,11.25,2.38,20.01
"Anand Vihar, Delhi - DPCC",2020-03-09,66.42,181.87,51.4,8.23,2.12,21.94
"Anand Vihar, Delhi - DPCC",2020-03-10,170.09,314.39,47.14,4.12,1.99,16.47
"Anand Vihar, Delhi - DPCC",2020-03-11,51.98,121.21,33.05,9.28,1.6,36.5
"Anand Vihar, Delhi - DPCC",2020-03-12,71.2,188.62,43.54,12.05,1.98,25.31
"Anand Vihar, Delhi - DPCC",2020-03-13,58.92,204.01,50.24,7.55,1.49,28.66
"Anand Vihar, Delhi - DPCC",2020-03-14,45.72,87.3,42.35,8.91,2.1,28.04
"Anand Vihar, Delhi - DPCC",2020-03-15,62.7,151.82,49.44,9.01,2.12,33.58
"Anand Vihar, Delhi - DPCC",2020-03-16,65.0,241.2,66.57,7.25,1.79,28.04
"Anand Vihar, Delhi - DPCC",2020-03-17,71.67,222.03,65.45,8.12,2.04,23.54
"Anand Vihar, Delhi - DPCC",2020-03-18,71.28,246.6,70.38,3.86,2.25,22.51
"Anand Vihar, Delhi - DPCC",2020-03-19,110.73,276.17,68.52,9.24,2.21,17.42
"Anand Vihar, Delhi - DPCC",2020-03-20,116.0,262.94,54.72,29.63,1.78,40.07
"Anand Vihar, Delhi - DPCC",2020-03-21,95.03,268.68,74.15,12.81,2.23,26.44
"Anand Vihar, Delhi - DPCC",2020-03-22,84.56,155.36,40.42,14.6,2.04,69.38
"Anand Vihar, Delhi - DPCC",2020-03-23,61.85,114.29,34.62,15.57,1.5,54.08
"Anand Vihar, Delhi - DPCC",2020-03-24,100.43,156.73,33.66,17.56,2.07,51.15
"Anand Vihar, Delhi - DPCC",2020-03-25,42.57,72.33,20.65,12.86,1.24,45.52
"Anand Vihar, Delhi - DPCC",2020-03-26,44.33,68.2,17.33,8.2,1.42,37.68
"Anand Vihar, Delhi - DPCC",2020-03-27,25.74,40.22,14.68,10.7,1.32,35.12
"Anand Vihar, Delhi - DPCC",2020-03-28,22.74,39.51,15.53,8.14,1.15,36.87
"Anand Vihar, Delhi - DPCC",2020-03-29,28.59,64.13,15.34,7.53,1.19,54.37
"Anand Vihar, Delhi - DPCC",2020-03-30,31.82,65.31,18.57,8.29,1.41,67.43
"Anand Vihar, Delhi - DPCC",2020-03-31,35.14,76.02,16.81,9.95,0.79,71.51
"Anand Vihar, Delhi - DPCC",2020-04-01,36.73,73.73,17.67,11.1,1.39,56.83
"Anand Vihar, Delhi - DPCC",2020-04-02,30.54,69.65,14.93,9.21,1.31,68.23
"Anand Vihar, Delhi - DPCC",2020-04-03,30.56,70.92,24.45,7.75,1.32,81.23
"Anand Vihar, Delhi - DPCC",2020-04-04,31.670624999999998,80.38,25.14,9.15,1.2,79.26
"Anand Vihar, Delhi - DPCC",2020-04-05,32.78125,124.37,23.41,12.89,1.39,78.29
"Anand Vihar, Delhi - DPCC",2020-04-06,33.891875,191.0,24.15357142857143,12.865,1.87,58.79
"Anand Vihar, Delhi - DPCC",2020-04-07,35.0025,66.94,24.897142857142857,12.84,1.09,58.59
"Anand Vihar, Delhi - DPCC",2020-04-08,36.113125,79.71,25.640714285714285,12.815,0.47,63.79
"Anand Vihar, Delhi - DPCC",2020-04-09,37.223749999999995,83.09181818181817,26.384285714285713,12.790000000000001,0.5036363636363637,62.59090909090909
"Anand Vihar, Delhi - DPCC",2020-04-10,38.334375,86.47363636363636,27.127857142857142,12.765,0.5372727272727272,61.39181818181818
"Anand Vihar, Delhi - DPCC",2020-04-11,39.445,89.85545454545453,27.871428571428574,12.74,0.5709090909090909,60.192727272727275
"Anand Vihar, Delhi - DPCC",2020-04-12,40.555625,93.23727272727272,28.615000000000002,12.715,0.6045454545454545,58.99363636363636
"Anand Vihar, Delhi - DPCC",2020-04-13,41.66625,96.6190909090909,29.35857142857143,12.69,0.6381818181818182,57.79454545454546
"Anand Vihar, Delhi - DPCC",2020-04-14,42.776875,100.00090909090909,30.10214285714286,12.665,0.6718181818181819,56.595454545454544
"Anand Vihar, Delhi - DPCC",2020-04-15,43.8875,103.38272727272727,30.845714285714287,12.639999999999999,0.7054545454545454,55.39636363636364
"Anand Vihar, Delhi - DPCC",2020-04-16,44.998125,106.76454545454546,31.589285714285715,12.615,0.739090909090909,54.197272727272725
"Anand Vihar, Delhi - DPCC",2020-04-17,46.10875,110.14636363636363,32.332857142857144,12.59,0.7727272727272727,52.99818181818182
"Anand Vihar, Delhi - DPCC",2020-04-18,47.219375,113.52818181818182,33.07642857142857,12.565,0.8063636363636364,51.79909090909091
"Anand Vihar, Delhi - DPCC",2020-04-19,48.33,116.91,33.82,12.54,0.84,50.6
"Anand Vihar, Delhi - DPCC",2020-04-20,66.17,125.31,24.31,19.18,4.28,58.97
"Anand Vihar, Delhi - DPCC",2020-04-21,53.95,98.41,17.31,12.58,2.08,50.88
"Anand Vihar, Delhi - DPCC",2020-04-22,68.05,138.96,30.36,27.88,1.17,78.25
"Anand Vihar, Delhi - DPCC",2020-04-23,55.74,116.9,26.22,18.93,1.46,76.26
"Anand Vihar, Delhi - DPCC",2020-04-24,63.3,128.29,24.24,18.83,1.28,84.5
"Anand Vihar, Delhi - DPCC",2020-04-25,33.52,110.27,16.53,11.27,2.453333333333333,99.99
"Anand Vihar, Delhi - DPCC",2020-04-26,46.69,92.25,12.38,13.77,3.626666666666666,84.26
"Anand Vihar, Delhi - DPCC",2020-04-27,28.59,74.23,11.11,10.47,4.8,75.62
"Anand Vihar, Delhi - DPCC",2020-04-28,46.21,79.82,10.05,11.68,1.44,74.34
"Anand Vihar, Delhi - DPCC",2020-04-29,56.04,119.5,10.851176470588236,12.318235294117647,1.47,102.45
"Anand Vihar, Delhi - DPCC",2020-04-30,37.56,85.74,11.65235294117647,12.956470588235295,1.89,72.45
"Anand Vihar, Delhi - DPCC",2020-05-01,39.98466666666667,89.34133333333332,12.453529411764707,13.59470588235294,1.9913333333333332,72.16333333333334
"Anand Vihar, Delhi - DPCC",2020-05-02,42.409333333333336,92.94266666666667,13.254705882352942,14.232941176470588,2.0926666666666667,71.87666666666667
"Anand Vihar, Delhi - DPCC",2020-05-03,44.834,96.544,14.055882352941177,14.871176470588235,2.194,71.59
"Anand Vihar, Delhi - DPCC",2020-05-04,47.25866666666667,100.14533333333333,14.857058823529414,15.509411764705883,2.2953333333333332,71.30333333333334
"Anand Vihar, Delhi - DPCC",2020-05-05,49.68333333333334,103.74666666666667,15.658235294117649,16.14764705882353,2.3966666666666665,71.01666666666667
"Anand Vihar, Delhi - DPCC",2020-05-06,52.108000000000004,107.348,16.459411764705884,16.785882352941176,2.498,70.73
"Anand Vihar, Delhi - DPCC",2020-05-07,54.53266666666667,110.94933333333333,17.26058823529412,17.424117647058825,2.599333333333333,70.44333333333334
"Anand Vihar, Delhi - DPCC",2020-05-08,56.95733333333334,114.55066666666666,18.061764705882354,18.06235294117647,2.7006666666666668,70.15666666666667
"Anand Vihar, Delhi - DPCC",2020-05-09,59.382000000000005,118.15199999999999,18.862941176470592,18.70058823529412,2.802,69.87
"Anand Vihar, Delhi - DPCC",2020-05-10,61.80666666666667,121.75333333333333,19.664117647058823,19.338823529411766,2.9033333333333333,69.58333333333334
"Anand Vihar, Delhi - DPCC",2020-05-11,64.23133333333334,125.35466666666666,20.465294117647062,19.97705882352941,3.0046666666666666,69.29666666666667
"Anand Vihar, Delhi - DPCC",2020-05-12,66.656,128.956,21.266470588235297,20.61529411764706,3.106,69.01
"Anand Vihar, Delhi - DPCC",2020-05-13,69.08066666666667,132.55733333333333,22.067647058823532,21.253529411764706,3.2073333333333336,68.72333333333334
"Anand Vihar, Delhi - DPCC",2020-05-14,71.50533333333334,136.15866666666665,22.868823529411767,21.891764705882352,3.3086666666666664,68.43666666666667
"Anand Vihar, Delhi - DPCC",2020-05-15,73.93,139.76,23.67,22.53,3.41,68.15
"Anand Vihar, Delhi - DPCC",2020-05-16,78.74,129.4,20.24,16.09,2.64,96.76
"Anand Vihar, Delhi - DPCC",2020-05-17,96.86,165.23,28.44,28.76,2.94,105.36
"Anand Vihar, Delhi - DPCC",2020-05-18,86.91,145.68,41.51,15.75,1.57,80.56
"Anand Vihar, Delhi - DPCC",2020-05-19,112.59,142.37,51.06,23.61,1.6,81.73
"Anand Vihar, Delhi - DPCC",2020-05-20,61.02,86.47,33.84,13.93,2.61,110.19
"Anand Vihar, Delhi - DPCC",2020-05-21,61.76,88.0,22.22,15.34,4.2,145.74
"Anand Vihar, Delhi - DPCC",2020-05-22,128.9,177.3,115.29,17.66,5.07,30.48
"Anand Vihar, Delhi - DPCC",2020-05-23,105.44,152.94,51.96,11.81,2.8,88.86
"Anand Vihar, Delhi - DPCC",2020-05-24,92.26,140.51,29.58,17.19,1.46,109.97
"Anand Vihar, Delhi - DPCC",2020-05-25,69.08,105.12,33.14,21.03,1.1,111.85
"Anand Vihar, Delhi - DPCC",2020-05-26,67.48,128.55,44.17,11.53,2.98,85.79
"Anand Vihar, Delhi - DPCC",2020-05-27,61.12,102.84,24.44,13.51,0.73,135.88
"Anand Vihar, Delhi - DPCC",2020-05-28,57.17,166.09,12.43,7.86,1.36,120.28
"Anand Vihar, Delhi - DPCC",2020-05-29,40.99,56.29,16.57,10.43,1.86,96.73
"Anand Vihar, Delhi - DPCC",2020-05-30,30.17,38.78,14.21,9.38,3.97,96.39
"Anand Vihar, Delhi - DPCC",2020-05-31,28.75,39.75,16.89,11.88,3.14,82.72
"Anand Vihar, Delhi - DPCC",2020-06-01,52.74,83.59,19.98,17.55,1.33,103.57
"Anand Vihar, Delhi - DPCC",2020-06-02,61.58,90.56,20.92,18.1,1.14,106.1
"Anand Vihar, Delhi - DPCC",2020-06-03,77.2,106.61,28.27,22.98,1.05,103.89
"Anand Vihar, Delhi - DPCC",2020-06-04,96.38,127.92,48.57,23.31,1.52,83.69
"Anand Vihar, Delhi - DPCC",2020-06-05,57.98,76.52,24.86,12.61,0.61,95.02
"Anand Vihar, Delhi - DPCC",2020-06-06,43.44,60.1,19.23,14.74,1.24,87.5
"Anand Vihar, Delhi - DPCC",2020-06-07,53.08,75.23,21.66,11.56,1.04,100.85
"Anand Vihar, Delhi - DPCC",2020-06-08,68.74,93.49,35.61,20.74,2.08,122.92
"Anand Vihar, Delhi - DPCC",2020-06-09,84.38,113.24,48.89,17.51,1.32,99.13
"Anand Vihar, Delhi - DPCC",2020-06-10,93.01,130.83,45.01,17.49,1.51,75.81
"Anand Vihar, Delhi - DPCC",2020-06-11,82.96,116.25,36.48,17.25,1.53,52.15
"Anand Vihar, Delhi - DPCC",2020-06-12,86.82,118.41,53.02,13.59,1.81,69.12
"Anand Vihar, Delhi - DPCC",2020-06-13,82.08,119.75,57.43,10.11,1.52,67.19
"Anand Vihar, Delhi - DPCC",2020-06-14,109.94,137.09,64.76,14.75,1.46,69.48
"Anand Vihar, Delhi - DPCC",2020-06-15,72.47,101.18,70.99,12.3,1.08,78.77
"Anand Vihar, Delhi - DPCC",2020-06-16,58.49,84.98,42.5,12.18,1.27,86.02
"Anand Vihar, Delhi - DPCC",2020-06-17,47.86,80.27,41.94,11.89,0.88,80.0
"Anand Vihar, Delhi - DPCC",2020-06-18,49.46,81.2,50.33,12.19,1.72,88.2
"Anand Vihar, Delhi - DPCC",2020-06-19,83.53,148.0,33.95,12.7,1.26,88.53
"Anand Vihar, Delhi - DPCC",2020-06-20,60.69,113.86,35.67,13.03,1.21,77.01
"Anand Vihar, Delhi - DPCC",2020-06-21,57.39,84.3,28.7,16.01,1.15,84.23
"Anand Vihar, Delhi - DPCC",2020-06-22,52.31,59.23,32.01,12.81,1.63,98.89
"Anand Vihar, Delhi - DPCC",2020-06-23,30.95,43.21,16.37,9.82,2.1333333333333333,65.95
"Anand Vihar, Delhi - DPCC",2020-06-24,39.77,57.74,19.37,10.94,2.6366666666666667,52.19
"Anand Vihar, Delhi - DPCC",2020-06-25,57.2,78.52,22.46,19.71,3.14,48.65
"Anand Vihar, Delhi - DPCC",2020-06-26,59.0,96.56,19.62,17.32,2.64,48.5
"Anand Vihar, Delhi - DPCC",2020-06-27,43.8,130.88,27.49,13.87,2.64,36.39
"Anand Vihar, Delhi - DPCC",2020-06-28,65.47,254.21,33.66,11.0,3.85,35.51
"Anand Vihar, Delhi - DPCC",2020-06-29,58.7,151.31,21.39,17.77,1.6,61.43
"Anand Vihar, Delhi - DPCC",2020-06-30,45.59,76.93,23.54,12.35,1.14,81.49
"Anand Vihar, Delhi - DPCC",2020-07-01,54.88,90.97,26.37,10.98,1.11,96.26
"Anand Vihar, Delhi - DPCC",2020-07-02,68.48,110.77,37.39,12.06,1.32,102.86
"Anand Vihar, Delhi - DPCC",2020-07-03,70.19,116.49,32.95,12.36,1.81,100.44
"Anand Vihar, Delhi - DPCC",2020-07-04,48.75,70.97,20.69,11.04,1.13,82.99
"Anand Vihar, Delhi - DPCC",2020-07-05,30.94,49.21,26.12,16.69,1.15,97.98
"Anand Vihar, Delhi - DPCC",2020-07-06,51.65,70.29,28.87,15.44,3.43,60.53
"Anand Vihar, Delhi - DPCC",2020-07-07,19.85,32.0,18.03,9.76,0.85,41.96
"Anand Vihar, Delhi - DPCC",2020-07-08,30.26,42.59,23.78,8.75,1.24,44.18
"Anand Vihar, Delhi - DPCC",2020-07-09,44.78,63.98,38.26,13.35,1.29,62.34
"Anand Vihar, Delhi - DPCC",2020-07-10,26.94,58.33,33.2,9.41,1.07,53.42
"Anand Vihar, Delhi - DPCC",2020-07-11,15.48,36.6,23.4,7.86,1.02,67.97
"Anand Vihar, Delhi - DPCC",2020-07-12,23.21,45.4,30.97,11.48,1.83,91.33
"Anand Vihar, Delhi - DPCC",2020-07-13,39.28,95.2,33.13,10.31,1.68,66.35
"Anand Vihar, Delhi - DPCC",2020-07-14,44.39,114.52,29.94,10.1,1.24,68.66
"Anand Vihar, Delhi - DPCC",2020-07-15,51.0,73.92,21.32,12.29,1.42,78.97
"Anand Vihar, Delhi - DPCC",2020-07-16,38.34,58.69,17.38,12.46,1.04,57.72
"Anand Vihar, Delhi - DPCC",2020-07-17,49.77,71.23,16.34,13.37,2.21,55.82
"Anand Vihar, Delhi - DPCC",2020-07-18,35.68,55.92,13.03,12.95,0.76,50.08
"Anand Vihar, Delhi - DPCC",2020-07-19,30.52,55.73,22.41,9.63,2.09,47.44
"Anand Vihar, Delhi - DPCC",2020-07-20,19.82,46.04,22.37,8.88,2.46,68.39
"Anand Vihar, Delhi - DPCC",2020-07-21,24.75,39.85,17.95,8.81,2.21,55.69
"Anand Vihar, Delhi - DPCC",2020-07-22,30.6,49.76,26.72,8.64,0.96,39.17
"Anand Vihar, Delhi - DPCC",2020-07-23,47.07,82.01,75.31,12.78,1.64,57.29
"Anand Vihar, Delhi - DPCC",2020-07-24,47.7,76.71,63.08,12.18,2.35,70.64
"Anand Vihar, Delhi - DPCC",2020-07-25,29.49,68.64,33.78,10.37,0.87,57.28
"Anand Vihar, Delhi - DPCC",2020-07-26,45.64,88.81,68.29,9.7,1.55,67.77
"Anand Vihar, Delhi - DPCC",2020-07-27,46.53,101.76,71.63,8.64,1.75,60.59
"Anand Vihar, Delhi - DPCC",2020-07-28,24.22,61.17,36.39,9.13,1.23,53.41
"Anand Vihar, Delhi - DPCC",2020-07-29,28.62,52.44,27.42,8.44,1.68,51.75
"Anand Vihar, Delhi - DPCC",2020-07-30,23.52,56.08,21.16,9.65,1.38,46.66
"Anand Vihar, Delhi - DPCC",2020-07-31,50.7,75.98,21.05,12.42,1.68,57.72
"Anand Vihar, Delhi - DPCC",2020-08-01,33.92,59.54,35.63,9.45,3.07,25.37
"Anand Vihar, Delhi - DPCC",2020-08-02,26.5,58.94,35.5,8.7,1.81,18.9
"Anand Vihar, Delhi - DPCC",2020-08-03,29.84,62.34,36.68,10.46,1.11,22.97
"Anand Vihar, Delhi - DPCC",2020-08-04,30.83,60.58,32.14,7.94,0.64,22.24
"Anand Vihar, Delhi - DPCC",2020-08-05,47.32,79.38,36.45,11.57,3.85,24.97
"Anand Vihar, Delhi - DPCC",2020-08-06,25.53,50.22,45.66,14.22,1.2,20.51
"Anand Vihar, Delhi - DPCC",2020-08-07,24.22,43.72,58.91,12.67,1.65,23.67
"Anand Vihar, Delhi - DPCC",2020-08-08,54.35,82.15,112.19,12.84,1.33,33.44
"Anand Vihar, Delhi - DPCC",2020-08-09,38.59,57.52,65.81,11.2,1.67,27.87
"Anand Vihar, Delhi - DPCC",2020-08-10,38.23,58.34,38.68,11.04,0.85,18.11
"Anand Vihar, Delhi - DPCC",2020-08-11,48.12,71.89,100.53,9.81,1.33,19.65
"Anand Vihar, Delhi - DPCC",2020-08-12,25.94,60.29,60.82,6.56,0.86,18.86
"Anand Vihar, Delhi - DPCC",2020-08-13,17.45,28.29,52.1,10.26,1.71,19.38
"Anand Vihar, Delhi - DPCC",2020-08-14,24.67,46.38,47.3,13.75,1.65,16.24
"Anand Vihar, Delhi - DPCC",2020-08-15,33.82,50.28,52.77,9.72,0.89,18.74
"Anand Vihar, Delhi - DPCC",2020-08-16,22.78,40.19,49.36,9.92,1.65,24.85
"Anand Vihar, Delhi - DPCC",2020-08-17,33.84,56.24,69.6,10.55,2.27,22.11
"Anand Vihar, Delhi - DPCC",2020-08-18,43.45,67.52,86.5,16.34,1.1,15.34
"Anand Vihar, Delhi - DPCC",2020-08-19,25.63,36.58,79.97,27.88,1.65,14.76
"Anand Vihar, Delhi - DPCC",2020-08-20,22.78,35.52,62.26,19.98,1.66,23.9
"Anand Vihar, Delhi - DPCC",2020-08-21,21.59,49.42,18.48,13.05,2.16,37.76
"Anand Vihar, Delhi - DPCC",2020-08-22,21.85,46.09,28.5,6.05,1.79,25.57
"Anand Vihar, Delhi - DPCC",2020-08-23,18.16,36.41,32.95,7.92,1.22,26.49
"Anand Vihar, Delhi - DPCC",2020-08-24,12.95,16.26,37.84,3.84,0.83,21.17
"Anand Vihar, Delhi - DPCC",2020-08-25,15.38,47.28999999999999,50.72,4.44,1.63,19.24
"Anand Vihar, Delhi - DPCC",2020-08-26,16.69,78.32,59.17,6.54,1.47,20.46
"Anand Vihar, Delhi - DPCC",2020-08-27,21.25,57.39,39.37,3.69,2.09,23.54
"Anand Vihar, Delhi - DPCC",2020-08-28,37.46,68.6,52.71,4.8,1.6,34.81
"Anand Vihar, Delhi - DPCC",2020-08-29,49.43,80.67,49.72,11.64,1.82,29.97
"Anand Vihar, Delhi - DPCC",2020-08-30,20.75,36.32,28.94,8.99,1.39,22.6
"Anand Vihar, Delhi - DPCC",2020-08-31,11.86,25.82,35.03,6.64,2.42,19.66
"Anand Vihar, Delhi - DPCC",2020-09-01,17.26,37.8,47.4,6.77,1.32,19.44
"Anand Vihar, Delhi - DPCC",2020-09-02,28.41,63.02,66.67,6.86,1.85,34.17
"Anand Vihar, Delhi - DPCC",2020-09-03,36.72,60.82,28.1,6.19,1.31,28.15
"Anand Vihar, Delhi - DPCC",2020-09-04,42.08,52.68,79.75,25.46,2.04,26.18
"Anand Vihar, Delhi - DPCC",2020-09-05,47.21,60.300000000000004,36.08,15.72,1.37,42.57
"Anand Vihar, Delhi - DPCC",2020-09-06,45.69,67.92,83.97,15.51,2.09,31.84
"Anand Vihar, Delhi - DPCC",2020-09-07,82.93,75.54,63.86,39.99,2.19,21.74
"Anand Vihar, Delhi - DPCC",2020-09-08,38.88,65.5,40.78,10.98,1.6,23.73
"Anand Vihar, Delhi - DPCC",2020-09-09,47.74,74.59,42.1,20.98,2.84,28.6
"Anand Vihar, Delhi - DPCC",2020-09-10,52.78,93.99,36.95,18.23,1.77,32.66
"Anand Vihar, Delhi - DPCC",2020-09-11,58.69,92.25,53.08,18.13,1.22,34.93
"Anand Vihar, Delhi - DPCC",2020-09-12,62.67,89.35,51.65,32.97,2.46,38.9
"Anand Vihar, Delhi - DPCC",2020-09-13,67.5,83.43,44.73,25.44,2.37,33.71
"Anand Vihar, Delhi - DPCC",2020-09-14,85.3,104.27,57.88,26.01,3.61,39.29
"Anand Vihar, Delhi - DPCC",2020-09-15,81.77,160.14,56.75,27.97,1.28,40.55
"Anand Vihar, Delhi - DPCC",2020-09-16,69.6,190.53,51.09,26.86,1.71,29.33
"Anand Vihar, Delhi - DPCC",2020-09-17,52.19,153.13,44.64,18.67,1.67,33.96
"Anand Vihar, Delhi - DPCC",2020-09-18,27.66,140.48,43.93,22.01,1.88,30.77
"Anand Vihar, Delhi - DPCC",2020-09-19,30.05,169.32,39.89,21.3,2.91,42.57
"Anand Vihar, Delhi - DPCC",2020-09-20,52.86,186.24,43.67,56.84,1.61,58.63
"Anand Vihar, Delhi - DPCC",2020-09-21,42.4,168.74,13.89,31.48,1.57,48.05
"Anand Vihar, Delhi - DPCC",2020-09-22,24.63,96.38,75.2,35.78,2.01,30.25
"Anand Vihar, Delhi - DPCC",2020-09-23,16.74,70.85,63.19,29.33,1.91,31.34
"Anand Vihar, Delhi - DPCC",2020-09-24,31.62,104.04,52.58,25.99,2.23,24.49
