station,lat,lon,notes,distance_to_major_road,total_road_length_m,major_road_length_m,pct_green,pct_industrial,pct_residential,building_density,avg_building_area_m2,median_building_area_m2,building_count,major_road_fraction
"Anand Vihar, Delhi (DPCC / CPCB)",28.6559,77.2949,CPCB list,,407.38167952783743,0.0,0.0038466799783292696,0.0,0.21924256434370418,0.6140248660724802,6419.72922278817,108.41661903221998,3,0.0
"Punjabi Bagh, Delhi (DPCC)",28.674,77.131,CPCB list,,774.7269562412803,0.0,0.0,0.0,1.0,0.4170334408403472,272.5095019543239,200.1124696087577,48,0.0
"Mandir Marg, Delhi (DPCC)",28.636429,77.201067,GIS study,92.65611257641245,545.0596551552638,82.49995177640238,0.0,0.0,0.0,0.24153328966610532,2525.269583740117,713.9240200464333,3,0.1513594906467655
"R K Puram, Delhi (DPCC)",28.563262,77.186937,paper,28.201322387282172,1398.8766400467882,386.6286137376442,0.15603984686221312,0.0,0.8351459693192372,0.19195118400091352,668.96021826413,401.9204163437725,9,0.27638506689532866
Sector-51 Gurugram - HSPCB,28.43518,77.072,env clearance doc,,454.4278251163249,0.0,,,,0.0,,,0,0.0
Vikas Sadan Gurugram - HSPCB,28.450129,77.026306,amazon link?,,0.0,0.0,,,,0.0,,,0,
Sector - 125 Noida - UPPCB,28.5897,77.31,UPPCB,,633.0845990173888,0.0,0.0,0.9219938235799396,0.07800617642006029,0.17081184040970238,412.1227847726144,355.1522301269035,13,0.0
